iter	Passed	Remaining
0	7977	1188614
1	16135	1194024
2	23779	1165217
3	31588	1152966
4	39256	1138441
5	46799	1123192
6	54898	1121502
7	62616	1111441
8	66240	1037769
9	74342	1040790
10	81974	1035862
11	89189	1025677
12	91164	960730
13	101790	988820
14	110869	997827
15	118841	995299
16	126022	985937
17	127461	934721
18	134553	927710
19	135953	883700
20	143809	883404
21	151152	879431
22	158553	875491
23	167125	877409
24	169697	848485
25	177352	845833
26	185744	846170
27	193962	845120
28	202002	842838
29	210523	842093
30	219024	840770
